student_id,step,error_type,topic
S01,1,Process,함수
S01,2,Strategy,함수
S01,3,Micro,함수

S02,1,Macro,함수
S02,2,Process,함수
S02,3,Strategy,함수

S03,1,Process,함수
S03,2,Process,함수
S03,3,Strategy,함수

S04,1,Strategy,함수
S04,2,Strategy,함수
S04,3,Micro,함수

S05,1,Macro,함수
S05,2,Macro,함수
S05,3,Process,함수

S06,1,Macro,방정식
S06,2,Micro,방정식
S06,3,Micro,방정식

S07,1,Process,함수
S07,2,Strategy,함수
S07,3,Strategy,함수

S08,1,Macro,도형
S08,2,Strategy,도형
S08,3,Strategy,도형

S09,1,Macro,확률과통계
S09,2,Macro,확률과통계
S09,3,Strategy,확률과통계

S10,1,Process,함수
S10,2,Strategy,함수
S10,3,Strategy,함수

S11,1,Macro,방정식
S11,2,Micro,방정식
S11,3,Micro,방정식

S12,1,Process,함수
S12,2,Process,함수
S12,3,Strategy,함수

S13,1,Strategy,함수
S13,2,Strategy,함수
S13,3,Micro,함수

S14,1,Macro,도형
S14,2,Process,도형
S14,3,Strategy,도형

S15,1,Process,확률과통계
S15,2,Process,확률과통계
S15,3,Strategy,확률과통계

S16,1,Macro,함수
S16,2,Macro,함수
S16,3,Process,함수

S17,1,Strategy,방정식
S17,2,Strategy,방정식
S17,3,Micro,방정식

S18,1,Process,함수
S18,2,Strategy,함수
S18,3,Strategy,함수

S19,1,Macro,도형
S19,2,Micro,도형
S19,3,Micro,도형

S20,1,Process,함수
S20,2,Strategy,함수
S20,3,Strategy,함수
