
student_id,weak_topic,error_type,material_preference,difficulty_level
S01,함수,Strategy,예제,중
S02,함수,Process,영상,중
S03,함수,Process,시각자료,중
S04,함수,Strategy,예제,중
S05,함수,Macro,개념정리,중
S06,방정식,Micro,문제풀이,하
S07,함수,Process,영상,상
S08,도형,Strategy,예제,중
S09,확률과통계,Macro,개념정리,중
S10,함수,Strategy,시각자료,중
S11,방정식,Micro,문제풀이,하
S12,함수,Process,영상,중
S13,함수,Strategy,예제,상
S14,도형,Macro,시각자료,중
S15,확률과통계,Process,영상,중
S16,함수,Macro,개념정리,하
S17,방정식,Strategy,예제,중
S18,함수,Process,시각자료,중
S19,도형,Micro,문제풀이,하
S20,함수,Strategy,영상,중
